epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1413.7,2.30503,2.40246,0.95992,0.27131,0.24019,0.17434,0.09347,2.16353,1.65651,0.94513,0.000236828,0.000236828,0.000236828
2,1469.14,2.25641,1.69324,0.93215,0.3544,0.27836,0.2206,0.11954,2.12553,1.6405,0.93109,0.000465426,0.000465426,0.000465426
3,1522.36,2.23483,1.62776,0.9266,0.31656,0.26965,0.20508,0.11071,2.18382,1.70647,0.93798,0.0006846,0.0006846,0.0006846
4,1575.55,2.23865,1.61059,0.92237,0.34732,0.27232,0.21512,0.1194,2.13852,1.67653,0.93158,0.000671588,0.000671588,0.000671588
5,1628.39,2.21687,1.57907,0.92093,0.37503,0.29332,0.25411,0.14008,2.07956,1.51255,0.9232,0.000657451,0.000657451,0.000657451
6,1681.86,2.19374,1.54236,0.91042,0.4078,0.30744,0.27116,0.1502,2.05902,1.46155,0.91464,0.000643314,0.000643314,0.000643314
7,1734.77,2.15986,1.49886,0.90574,0.40512,0.31352,0.28204,0.15652,2.0537,1.46724,0.91376,0.000629177,0.000629177,0.000629177
8,1787.75,2.15344,1.48588,0.90376,0.42014,0.32477,0.29186,0.15978,2.03768,1.44038,0.91064,0.00061504,0.00061504,0.00061504
9,1841.16,2.1301,1.46492,0.90098,0.40849,0.32556,0.2888,0.16076,2.01996,1.45062,0.90467,0.000600902,0.000600902,0.000600902
10,1894.69,2.12609,1.44679,0.89761,0.41867,0.33917,0.30633,0.16811,2.03167,1.42239,0.90755,0.000586765,0.000586765,0.000586765
11,1947.89,2.11811,1.43569,0.8945,0.45159,0.33061,0.30625,0.17103,1.99115,1.39494,0.90111,0.000572628,0.000572628,0.000572628
12,2001.56,2.09499,1.41196,0.89244,0.43683,0.33874,0.31439,0.17567,1.99378,1.38415,0.90147,0.000558491,0.000558491,0.000558491
13,2054.57,2.08349,1.3989,0.89314,0.45493,0.3487,0.32335,0.18311,1.97268,1.37115,0.89731,0.000544354,0.000544354,0.000544354
14,2107.79,2.07408,1.39202,0.88975,0.45892,0.34651,0.32361,0.1805,1.98563,1.38116,0.89945,0.000530216,0.000530216,0.000530216
15,2160.94,2.08067,1.38125,0.88578,0.45586,0.35162,0.32841,0.18758,1.96042,1.35309,0.8958,0.000516079,0.000516079,0.000516079
16,2214.53,2.07736,1.37168,0.88347,0.46305,0.34354,0.32801,0.18693,1.95874,1.37462,0.89343,0.000501942,0.000501942,0.000501942
17,2267.77,2.05872,1.35629,0.8825,0.44997,0.35216,0.32474,0.18364,1.96009,1.35158,0.89229,0.000487805,0.000487805,0.000487805
18,2321.17,2.05138,1.34787,0.88045,0.46797,0.36063,0.34209,0.19352,1.95029,1.32912,0.89168,0.000473668,0.000473668,0.000473668
19,2374.33,2.04457,1.34344,0.87924,0.45903,0.36871,0.34398,0.19759,1.94494,1.32888,0.89173,0.00045953,0.00045953,0.00045953
20,2427.33,2.03545,1.32781,0.87809,0.46272,0.36543,0.34565,0.19704,1.934,1.32097,0.8884,0.000445393,0.000445393,0.000445393
21,2480.56,2.0411,1.32948,0.87739,0.47696,0.36438,0.34503,0.19617,1.94817,1.33177,0.89088,0.000431256,0.000431256,0.000431256
22,2533.69,2.02758,1.31259,0.8755,0.4671,0.36209,0.346,0.19837,1.93965,1.3279,0.89017,0.000417119,0.000417119,0.000417119
23,2587.52,2.01584,1.29948,0.87276,0.47626,0.36825,0.34922,0.20093,1.93376,1.32284,0.88632,0.000402982,0.000402982,0.000402982
24,2640.74,2.02203,1.30215,0.87157,0.48288,0.3656,0.34497,0.19745,1.91735,1.31651,0.88655,0.000388844,0.000388844,0.000388844
25,2693.84,2.01461,1.28994,0.87095,0.47555,0.37422,0.35178,0.20198,1.92012,1.29831,0.88627,0.000374707,0.000374707,0.000374707
26,2747.16,2.00225,1.28117,0.86972,0.47518,0.37849,0.35608,0.20571,1.91396,1.2931,0.88471,0.00036057,0.00036057,0.00036057
27,2800.5,1.99732,1.27212,0.86825,0.47475,0.37439,0.35832,0.20633,1.90554,1.28627,0.88237,0.000346433,0.000346433,0.000346433
28,2854.05,1.99091,1.26105,0.86799,0.48795,0.38118,0.36301,0.20877,1.90839,1.27838,0.88438,0.000332296,0.000332296,0.000332296
29,2906.97,1.98553,1.25213,0.86626,0.48111,0.37561,0.35682,0.20575,1.90043,1.28442,0.88248,0.000318158,0.000318158,0.000318158
30,2960,1.97976,1.25103,0.86811,0.4843,0.38307,0.36441,0.21083,1.89301,1.27254,0.88144,0.000304021,0.000304021,0.000304021
31,3013.55,1.97248,1.24337,0.86662,0.48594,0.38074,0.36544,0.20993,1.90164,1.28301,0.88143,0.000289884,0.000289884,0.000289884
32,3066.97,1.96602,1.23338,0.86342,0.48222,0.38591,0.36661,0.21067,1.90132,1.27112,0.88172,0.000275747,0.000275747,0.000275747
33,3120.1,1.96838,1.23556,0.86443,0.4943,0.38223,0.36658,0.21178,1.89058,1.26711,0.8804,0.00026161,0.00026161,0.00026161
34,3173.43,1.97103,1.22631,0.86229,0.48891,0.38608,0.36955,0.21375,1.89342,1.26745,0.87968,0.000247472,0.000247472,0.000247472
35,3226.86,1.95099,1.22187,0.86289,0.49788,0.38664,0.37189,0.21567,1.89052,1.25918,0.8799,0.000233335,0.000233335,0.000233335
36,3280.39,1.95372,1.21048,0.86126,0.48549,0.38971,0.36943,0.21487,1.88346,1.2613,0.87944,0.000219198,0.000219198,0.000219198
37,3333.87,1.95598,1.21239,0.8593,0.48612,0.38749,0.36846,0.21357,1.88619,1.26639,0.87837,0.000205061,0.000205061,0.000205061
38,3387.13,1.93917,1.19838,0.8576,0.50751,0.38584,0.37514,0.21798,1.87573,1.25417,0.8767,0.000190924,0.000190924,0.000190924
39,3440.32,1.94184,1.19889,0.86005,0.49304,0.39295,0.37305,0.21578,1.87636,1.25744,0.87687,0.000176786,0.000176786,0.000176786
40,3493.33,1.92856,1.18528,0.85626,0.51567,0.38137,0.37714,0.21869,1.87957,1.25183,0.87803,0.000162649,0.000162649,0.000162649
41,3547.69,1.86756,1.16261,0.86609,0.49507,0.3841,0.36813,0.21351,1.88241,1.25707,0.87975,0.000148512,0.000148512,0.000148512
42,3597.85,1.85165,1.14212,0.86466,0.49007,0.39121,0.37389,0.21545,1.88059,1.25301,0.87785,0.000134375,0.000134375,0.000134375
43,3648.09,1.84386,1.13442,0.86241,0.49875,0.38741,0.37358,0.21687,1.88246,1.25978,0.87828,0.000120238,0.000120238,0.000120238
44,3698.52,1.84464,1.12975,0.86088,0.50217,0.38714,0.37428,0.21636,1.88173,1.25425,0.87858,0.0001061,0.0001061,0.0001061
45,3748.97,1.83948,1.12457,0.86092,0.49164,0.38911,0.3737,0.21703,1.87304,1.25714,0.87619,9.19632e-05,9.19632e-05,9.19632e-05
46,3799.3,1.83283,1.11489,0.85835,0.49607,0.39143,0.37322,0.21686,1.87375,1.25585,0.87641,7.7826e-05,7.7826e-05,7.7826e-05
47,3849.49,1.83009,1.11066,0.85827,0.50955,0.38661,0.37384,0.21711,1.88056,1.25584,0.8775,6.36888e-05,6.36888e-05,6.36888e-05
48,3899.89,1.82263,1.10423,0.8584,0.49834,0.39165,0.37494,0.21672,1.87715,1.25175,0.87639,4.95516e-05,4.95516e-05,4.95516e-05
49,3950.41,1.82566,1.1048,0.85817,0.50691,0.38518,0.37498,0.21765,1.87412,1.25288,0.87633,3.54144e-05,3.54144e-05,3.54144e-05
50,4000.64,1.81931,1.09823,0.85728,0.50127,0.38968,0.3753,0.21706,1.87973,1.2534,0.87691,2.12772e-05,2.12772e-05,2.12772e-05
