epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2963.71,1.64855,1.71003,0.97015,0.32401,0.24273,0.21832,0.12303,1.5042,1.23482,0.92396,0.000236828,0.000236828,0.000236828
2,3012.44,1.57979,1.22258,0.93629,0.35439,0.29261,0.26727,0.14842,1.51763,1.1508,0.92198,0.000465426,0.000465426,0.000465426
3,3063.24,1.56697,1.18431,0.92887,0.36528,0.28292,0.26362,0.14824,1.54126,1.16623,0.92797,0.0006846,0.0006846,0.0006846
4,3112.1,1.56625,1.16739,0.92538,0.37787,0.2889,0.27577,0.15874,1.50229,1.14468,0.91458,0.000671588,0.000671588,0.000671588
5,3162.97,1.55367,1.14111,0.92375,0.38604,0.30594,0.29484,0.16976,1.46383,1.0976,0.9107,0.000657451,0.000657451,0.000657451
6,3213.97,1.53312,1.11498,0.91504,0.4237,0.32221,0.30974,0.17801,1.46547,1.07591,0.90805,0.000643314,0.000643314,0.000643314
7,3264.61,1.5119,1.08651,0.91128,0.41758,0.3172,0.31361,0.17799,1.45766,1.07129,0.90909,0.000629177,0.000629177,0.000629177
8,3314.29,1.49639,1.0725,0.90812,0.42526,0.33518,0.32751,0.18762,1.43245,1.06871,0.90023,0.00061504,0.00061504,0.00061504
9,3365.06,1.48168,1.0566,0.90678,0.449,0.32433,0.32779,0.1878,1.44138,1.03489,0.90669,0.000600902,0.000600902,0.000600902
10,3415.63,1.48322,1.04706,0.90473,0.45597,0.34065,0.34053,0.19578,1.40537,1.03102,0.89786,0.000586765,0.000586765,0.000586765
11,3466.81,1.47101,1.03381,0.90115,0.43985,0.32973,0.33013,0.18864,1.43866,1.03755,0.90333,0.000572628,0.000572628,0.000572628
12,3516.36,1.45401,1.01334,0.89793,0.45577,0.3421,0.34609,0.19666,1.4159,1.01297,0.89601,0.000558491,0.000558491,0.000558491
13,3567.51,1.44641,1.00698,0.89792,0.4281,0.34757,0.34206,0.19867,1.40683,1.01176,0.89626,0.000544354,0.000544354,0.000544354
14,3618.94,1.4422,1.00365,0.89639,0.44582,0.35266,0.35165,0.20177,1.4001,0.99928,0.89304,0.000530216,0.000530216,0.000530216
15,3670.05,1.44298,0.99524,0.8927,0.45608,0.35799,0.35411,0.20778,1.38749,1.00007,0.89046,0.000516079,0.000516079,0.000516079
16,3721.03,1.43729,0.98522,0.89064,0.46007,0.35883,0.35879,0.20762,1.38536,0.98347,0.89123,0.000501942,0.000501942,0.000501942
17,3770.46,1.42698,0.97494,0.89028,0.48052,0.34483,0.35226,0.20416,1.41506,0.98711,0.89524,0.000487805,0.000487805,0.000487805
18,3820.07,1.41993,0.96361,0.88804,0.4761,0.35759,0.36577,0.21288,1.37164,0.96673,0.88933,0.000473668,0.000473668,0.000473668
19,3870.64,1.41216,0.95976,0.88621,0.46125,0.36401,0.36377,0.21522,1.36481,0.96693,0.88842,0.00045953,0.00045953,0.00045953
20,3923.53,1.40639,0.95231,0.88571,0.48098,0.36514,0.37089,0.21544,1.37329,0.96521,0.88621,0.000445393,0.000445393,0.000445393
21,3978.62,1.4099,0.95358,0.88515,0.47118,0.35431,0.36107,0.20977,1.37853,0.98468,0.88965,0.000431256,0.000431256,0.000431256
22,4030.46,1.39897,0.93914,0.88328,0.46424,0.36697,0.36892,0.21812,1.35725,0.95249,0.88657,0.000417119,0.000417119,0.000417119
23,4081.79,1.39122,0.9327,0.88081,0.48291,0.37199,0.37658,0.21862,1.3551,0.95542,0.88376,0.000402982,0.000402982,0.000402982
24,4132.73,1.39241,0.93223,0.88033,0.47125,0.37485,0.37941,0.22211,1.34863,0.9438,0.88382,0.000388844,0.000388844,0.000388844
25,4183.82,1.38687,0.921,0.87916,0.48567,0.36996,0.3814,0.22415,1.35498,0.94078,0.8846,0.000374707,0.000374707,0.000374707
26,4234.52,1.38054,0.91901,0.87881,0.5025,0.36809,0.38764,0.22763,1.33935,0.93021,0.88176,0.00036057,0.00036057,0.00036057
27,4285.21,1.3761,0.90865,0.87744,0.49182,0.36676,0.3824,0.22547,1.33772,0.93128,0.88066,0.000346433,0.000346433,0.000346433
28,4334.44,1.36892,0.90039,0.87685,0.48584,0.37998,0.38866,0.23089,1.34183,0.9304,0.88218,0.000332296,0.000332296,0.000332296
29,4385.4,1.36343,0.89287,0.87525,0.49805,0.37192,0.38546,0.22852,1.33682,0.92926,0.88097,0.000318158,0.000318158,0.000318158
30,4434.55,1.36256,0.89092,0.87675,0.50434,0.3733,0.38947,0.22977,1.32791,0.92228,0.87866,0.000304021,0.000304021,0.000304021
31,4483.37,1.35558,0.88581,0.87512,0.49349,0.37331,0.38944,0.22805,1.33073,0.92029,0.87969,0.000289884,0.000289884,0.000289884
32,4532.54,1.34379,0.87359,0.87093,0.49808,0.3751,0.38954,0.23015,1.33534,0.92153,0.88135,0.000275747,0.000275747,0.000275747
33,4582.11,1.34743,0.87496,0.87232,0.49962,0.38212,0.39389,0.23218,1.32525,0.91348,0.87883,0.00026161,0.00026161,0.00026161
34,4633.06,1.35103,0.87095,0.87161,0.50241,0.37565,0.3903,0.22991,1.33373,0.91996,0.87904,0.000247472,0.000247472,0.000247472
35,4682.29,1.33515,0.86441,0.87217,0.50378,0.3824,0.39532,0.23357,1.33144,0.91755,0.87945,0.000233335,0.000233335,0.000233335
36,4733.22,1.33301,0.85429,0.86987,0.49286,0.38926,0.39508,0.23445,1.31717,0.91466,0.87699,0.000219198,0.000219198,0.000219198
37,4783.55,1.33324,0.85278,0.86852,0.50398,0.3822,0.39613,0.23408,1.31893,0.90802,0.87724,0.000205061,0.000205061,0.000205061
38,4832.77,1.32161,0.84527,0.86661,0.51119,0.3752,0.39441,0.23424,1.32104,0.90972,0.87711,0.000190924,0.000190924,0.000190924
39,4882.28,1.32578,0.84594,0.86783,0.51844,0.38124,0.40217,0.23734,1.32455,0.90661,0.87804,0.000176786,0.000176786,0.000176786
40,4933.2,1.31221,0.83081,0.8651,0.51803,0.38313,0.3988,0.23748,1.31397,0.90462,0.87598,0.000162649,0.000162649,0.000162649
41,4985.28,1.28006,0.81444,0.87073,0.51786,0.37629,0.39661,0.23455,1.3215,0.90899,0.87616,0.000148512,0.000148512,0.000148512
42,5031.89,1.2676,0.7969,0.86904,0.51187,0.37993,0.39849,0.23556,1.32773,0.90935,0.87733,0.000134375,0.000134375,0.000134375
43,5077.68,1.26084,0.78961,0.86693,0.52046,0.37693,0.3973,0.23636,1.32296,0.90677,0.87683,0.000120238,0.000120238,0.000120238
44,5123.89,1.25546,0.78143,0.86553,0.51168,0.37798,0.39925,0.2373,1.32269,0.90589,0.87804,0.0001061,0.0001061,0.0001061
45,5170.49,1.25292,0.7773,0.8655,0.51373,0.38512,0.40266,0.23882,1.3148,0.90416,0.87551,9.19632e-05,9.19632e-05,9.19632e-05
46,5218.81,1.2438,0.76845,0.86199,0.50644,0.38523,0.40125,0.23784,1.318,0.90444,0.87584,7.7826e-05,7.7826e-05,7.7826e-05
