epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.352,1.44944,1.38451,1.03294,0.414,0.35838,0.30725,0.17933,1.3797,1.2267,1.03598,0.00033251,0.00033251,0.0670815
2,278.527,1.40354,1.16759,1.01373,0.47055,0.39437,0.35738,0.21249,1.34688,1.16749,1.01292,0.00065266,0.00065266,0.0340683
3,401.173,1.38881,1.12479,1.00589,0.4293,0.36312,0.31578,0.17975,1.40347,1.19338,1.02904,0.00095961,0.00095961,0.00104191
4,521.614,1.36913,1.08313,1.00115,0.5001,0.42104,0.40173,0.23833,1.34,1.06782,1.00971,0.0009406,0.0009406,0.0009406
5,643.323,1.35658,1.052,0.99379,0.50962,0.4315,0.41027,0.23854,1.35578,1.10648,1.01315,0.0009208,0.0009208,0.0009208
6,764.833,1.33688,1.02487,0.98852,0.53188,0.43045,0.42087,0.25228,1.31321,1.0365,0.99797,0.000901,0.000901,0.000901
7,885.326,1.33175,1.00586,0.98515,0.52374,0.44294,0.42969,0.25359,1.31391,1.03403,0.99662,0.0008812,0.0008812,0.0008812
8,1006.04,1.32218,0.98742,0.97915,0.53436,0.44086,0.43984,0.26478,1.31385,1.0156,0.98952,0.0008614,0.0008614,0.0008614
9,1127.54,1.32171,0.97844,0.97989,0.56371,0.45965,0.46293,0.27982,1.29693,0.9752,0.98798,0.0008416,0.0008416,0.0008416
10,1249.02,1.30313,0.9535,0.97195,0.53405,0.47026,0.46362,0.27789,1.28875,0.99873,0.98503,0.0008218,0.0008218,0.0008218
11,1370.3,1.28924,0.94428,0.96931,0.55184,0.46193,0.45516,0.27335,1.29325,0.99455,0.98714,0.000802,0.000802,0.000802
12,1490.78,1.2871,0.93185,0.96909,0.58381,0.4715,0.47576,0.28569,1.28196,0.95858,0.98534,0.0007822,0.0007822,0.0007822
13,1611.43,1.28563,0.92968,0.96739,0.57363,0.47929,0.48081,0.29219,1.27757,0.95235,0.98038,0.0007624,0.0007624,0.0007624
14,1732.01,1.2735,0.91264,0.96367,0.58487,0.47471,0.48121,0.29028,1.28592,0.94571,0.98615,0.0007426,0.0007426,0.0007426
15,1852.55,1.2724,0.9071,0.96233,0.58472,0.48314,0.4876,0.29566,1.27117,0.94163,0.97615,0.0007228,0.0007228,0.0007228
16,1972.82,1.26459,0.89518,0.95905,0.57967,0.49727,0.4962,0.30463,1.25914,0.92959,0.97452,0.000703,0.000703,0.000703
17,2093.87,1.25939,0.88077,0.95521,0.59435,0.48409,0.49809,0.30417,1.26624,0.92809,0.97821,0.0006832,0.0006832,0.0006832
18,2215.09,1.25129,0.8763,0.95565,0.59486,0.49686,0.49737,0.30212,1.26373,0.92411,0.973,0.0006634,0.0006634,0.0006634
19,2335.86,1.25326,0.87293,0.95376,0.60674,0.4913,0.50757,0.30972,1.25467,0.90937,0.96969,0.0006436,0.0006436,0.0006436
20,2457.32,1.24331,0.86301,0.95163,0.61562,0.48864,0.50776,0.31015,1.2486,0.91096,0.96625,0.0006238,0.0006238,0.0006238
21,2578.16,1.23683,0.85154,0.94922,0.61301,0.48944,0.50644,0.30869,1.25711,0.91099,0.97093,0.000604,0.000604,0.000604
22,2699.47,1.2346,0.84873,0.94923,0.59741,0.50295,0.50862,0.31318,1.24618,0.90157,0.96858,0.0005842,0.0005842,0.0005842
23,2819.88,1.23208,0.84212,0.94769,0.61178,0.49667,0.50832,0.31051,1.25143,0.90985,0.96785,0.0005644,0.0005644,0.0005644
24,2940.82,1.22579,0.8369,0.9459,0.62154,0.4997,0.51546,0.31392,1.25229,0.9042,0.96843,0.0005446,0.0005446,0.0005446
25,3061.13,1.22045,0.82765,0.94677,0.59787,0.50896,0.50601,0.30837,1.26278,0.91134,0.97117,0.0005248,0.0005248,0.0005248
26,3181.84,1.21916,0.82455,0.94396,0.60936,0.50832,0.5188,0.31663,1.24967,0.89881,0.9688,0.000505,0.000505,0.000505
27,3303.34,1.2165,0.82107,0.94094,0.61065,0.51571,0.51891,0.32069,1.24573,0.89101,0.96541,0.0004852,0.0004852,0.0004852
28,3424.3,1.2128,0.8103,0.94058,0.61311,0.50867,0.52106,0.32017,1.24247,0.8917,0.9635,0.0004654,0.0004654,0.0004654
29,3544.93,1.20736,0.80336,0.93922,0.62555,0.50706,0.52187,0.31887,1.25174,0.89131,0.96733,0.0004456,0.0004456,0.0004456
30,3665.36,1.1965,0.79441,0.93694,0.6232,0.50332,0.51816,0.32014,1.24711,0.88855,0.96417,0.0004258,0.0004258,0.0004258
31,3786.46,1.20295,0.79711,0.93881,0.62342,0.50978,0.52571,0.32436,1.23351,0.87936,0.96286,0.000406,0.000406,0.000406
32,3907.48,1.19568,0.78499,0.93398,0.61774,0.51514,0.52495,0.3225,1.24687,0.88398,0.96533,0.0003862,0.0003862,0.0003862
33,4027.69,1.18881,0.78003,0.93293,0.61836,0.52015,0.52888,0.32678,1.233,0.87541,0.96212,0.0003664,0.0003664,0.0003664
34,4148.5,1.17975,0.76866,0.93084,0.63102,0.51281,0.52504,0.32374,1.23856,0.87671,0.9626,0.0003466,0.0003466,0.0003466
35,4269.14,1.18146,0.76615,0.92967,0.62717,0.51821,0.52918,0.32318,1.25251,0.8779,0.9657,0.0003268,0.0003268,0.0003268
36,4389.57,1.17433,0.76179,0.92907,0.62951,0.51841,0.52882,0.32498,1.24182,0.87505,0.96323,0.000307,0.000307,0.000307
37,4509.29,1.16831,0.75462,0.92886,0.63424,0.51939,0.53102,0.32661,1.23417,0.87453,0.96123,0.0002872,0.0002872,0.0002872
38,4630.15,1.17534,0.75453,0.92977,0.63737,0.52457,0.53181,0.32782,1.23274,0.87191,0.96097,0.0002674,0.0002674,0.0002674
39,4750.93,1.16929,0.74839,0.92567,0.62153,0.52251,0.52726,0.32472,1.23894,0.87152,0.96202,0.0002476,0.0002476,0.0002476
40,4872.19,1.16344,0.73805,0.92271,0.62959,0.52021,0.5281,0.32523,1.23799,0.8722,0.96153,0.0002278,0.0002278,0.0002278
41,4993.11,1.15905,0.73884,0.93345,0.6335,0.51607,0.52767,0.32601,1.2317,0.87016,0.96153,0.000208,0.000208,0.000208
42,5106.61,1.14732,0.72054,0.93192,0.62729,0.52208,0.52591,0.32365,1.24329,0.87808,0.96373,0.0001882,0.0001882,0.0001882
43,5219.83,1.14392,0.7133,0.92949,0.63853,0.51654,0.52989,0.32629,1.24077,0.87347,0.96303,0.0001684,0.0001684,0.0001684
44,5333.78,1.14277,0.70909,0.92857,0.6326,0.51497,0.52716,0.32417,1.24168,0.8735,0.96391,0.0001486,0.0001486,0.0001486
45,5447.24,1.13222,0.69726,0.92526,0.63102,0.5145,0.52805,0.3244,1.23977,0.87494,0.96136,0.0001288,0.0001288,0.0001288
46,5560.97,1.1295,0.69423,0.92341,0.62055,0.51523,0.52609,0.32317,1.23735,0.87237,0.96119,0.000109,0.000109,0.000109
47,5674.12,1.12282,0.68613,0.92321,0.6336,0.51956,0.52955,0.32501,1.23979,0.87207,0.96155,8.92e-05,8.92e-05,8.92e-05
48,5787.59,1.12121,0.68245,0.92215,0.62902,0.51863,0.52666,0.32269,1.24114,0.87113,0.96142,6.94e-05,6.94e-05,6.94e-05
49,5900.62,1.11685,0.67703,0.92185,0.6348,0.51408,0.52763,0.32369,1.24256,0.8715,0.96219,4.96e-05,4.96e-05,4.96e-05
50,6014.01,1.11269,0.67272,0.92063,0.62656,0.52043,0.52717,0.32293,1.2427,0.87334,0.96232,2.98e-05,2.98e-05,2.98e-05
