epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.134,1.42951,1.5339,1.02265,0.43098,0.39372,0.35314,0.21028,1.34009,1.14993,1.00497,0.000237412,0.000237412,0.000237412
2,277.703,1.37691,1.1353,1.00116,0.46529,0.39822,0.36132,0.21187,1.3463,1.14002,1.00813,0.000474948,0.000474948,0.000474948
3,400.369,1.37226,1.09788,0.99776,0.48499,0.39921,0.38086,0.22318,1.36463,1.12311,1.01509,0.000710628,0.000710628,0.000710628
4,520.809,1.35594,1.05967,0.99434,0.49734,0.42951,0.41122,0.24348,1.32849,1.05203,1.00065,0.00070774,0.00070774,0.00070774
5,641.816,1.3469,1.03766,0.98939,0.5188,0.44527,0.43346,0.26007,1.3113,1.03957,0.99344,0.000702896,0.000702896,0.000702896
6,763.21,1.32738,1.01512,0.98468,0.52894,0.43778,0.43099,0.25989,1.31573,1.03161,0.9954,0.000696702,0.000696702,0.000696702
7,883.261,1.32104,0.98993,0.98136,0.52645,0.45504,0.44093,0.26566,1.29757,1.00713,0.99023,0.000689181,0.000689181,0.000689181
8,1004.35,1.31548,0.9787,0.97657,0.56403,0.45072,0.45126,0.26875,1.30556,0.9819,0.98981,0.000680363,0.000680363,0.000680363
9,1125.83,1.31223,0.96895,0.97668,0.54107,0.46733,0.46312,0.27656,1.30195,0.98458,0.99155,0.000670283,0.000670283,0.000670283
10,1247.05,1.29463,0.94173,0.96908,0.57838,0.46504,0.47131,0.28353,1.2914,0.97236,0.98285,0.000658981,0.000658981,0.000658981
11,1368.18,1.28368,0.93387,0.96773,0.5725,0.45929,0.46441,0.28232,1.29204,0.96818,0.98691,0.000646501,0.000646501,0.000646501
12,1488.47,1.27921,0.92072,0.96607,0.58719,0.48439,0.49035,0.29577,1.28094,0.94951,0.97874,0.000632892,0.000632892,0.000632892
13,1609.11,1.28079,0.91703,0.96535,0.5913,0.48299,0.49319,0.29904,1.2774,0.94595,0.98107,0.000618209,0.000618209,0.000618209
14,1729.54,1.26744,0.89747,0.96105,0.58831,0.49252,0.49208,0.29992,1.26977,0.93036,0.97542,0.000602509,0.000602509,0.000602509
15,1850.06,1.2627,0.89397,0.95925,0.59464,0.47829,0.48661,0.29887,1.26279,0.92788,0.97101,0.000585855,0.000585855,0.000585855
16,1970,1.26053,0.88398,0.95716,0.6018,0.48588,0.50011,0.30354,1.27187,0.9218,0.97414,0.000568311,0.000568311,0.000568311
17,2091.31,1.25309,0.87015,0.95328,0.58706,0.49451,0.50031,0.30663,1.26013,0.9251,0.97588,0.000549947,0.000549947,0.000549947
18,2212.81,1.24453,0.8646,0.95317,0.60325,0.49763,0.5046,0.3069,1.26379,0.91586,0.97569,0.000530836,0.000530836,0.000530836
19,2334.07,1.24544,0.85974,0.95126,0.60284,0.50457,0.50985,0.3104,1.26396,0.91375,0.97162,0.000511053,0.000511053,0.000511053
20,2455.26,1.2385,0.84946,0.94968,0.60149,0.5082,0.51624,0.31376,1.25461,0.9072,0.96982,0.000490676,0.000490676,0.000490676
21,2576,1.22787,0.836,0.94641,0.61075,0.50601,0.51129,0.31276,1.25303,0.90026,0.96869,0.000469786,0.000469786,0.000469786
22,2697.04,1.22437,0.83129,0.94581,0.61832,0.5016,0.516,0.3173,1.2453,0.88997,0.96578,0.000448464,0.000448464,0.000448464
23,2817.26,1.22176,0.8231,0.94425,0.60272,0.50675,0.51599,0.31813,1.2443,0.88963,0.96565,0.000426796,0.000426796,0.000426796
