epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.193,1.71646,1.91981,1.00184,0.30557,0.25414,0.20036,0.11376,1.54356,1.24226,0.93072,0.000235667,0.000235667,0.000235667
2,100.844,1.61149,1.27543,0.94749,0.28943,0.22777,0.17596,0.09482,1.673,1.30014,0.94727,0.000464288,0.000464288,0.000464288
3,137.635,1.63653,1.26666,0.94695,0.3016,0.27404,0.20272,0.11181,1.6171,1.38344,0.95664,0.000683485,0.000683485,0.000683485
4,173.873,1.62598,1.24245,0.94742,0.34584,0.27373,0.22428,0.12314,1.60513,1.21738,0.93921,0.000671588,0.000671588,0.000671588
5,210.408,1.58638,1.19783,0.93832,0.36589,0.29762,0.24604,0.13788,1.54794,1.19295,0.93425,0.000657451,0.000657451,0.000657451
6,247.328,1.56617,1.16697,0.93117,0.34204,0.3036,0.24066,0.13224,1.58339,1.27001,0.93142,0.000643314,0.000643314,0.000643314
7,283.875,1.55495,1.14198,0.92466,0.3708,0.29968,0.26034,0.14603,1.52237,1.16939,0.92814,0.000629177,0.000629177,0.000629177
8,320.468,1.54889,1.128,0.92108,0.40269,0.31958,0.28583,0.15983,1.48963,1.09663,0.91983,0.00061504,0.00061504,0.00061504
9,357.315,1.53732,1.11174,0.91801,0.39967,0.32806,0.28865,0.16086,1.4855,1.09287,0.91745,0.000600902,0.000600902,0.000600902
10,393.745,1.50676,1.08609,0.91454,0.4305,0.34163,0.3164,0.17583,1.45713,1.06898,0.90879,0.000586765,0.000586765,0.000586765
11,430.471,1.5149,1.08583,0.91558,0.41656,0.32715,0.29982,0.16708,1.47728,1.0955,0.91783,0.000572628,0.000572628,0.000572628
12,466.735,1.49243,1.06721,0.90991,0.45133,0.33254,0.30922,0.17637,1.45061,1.0529,0.91235,0.000558491,0.000558491,0.000558491
13,503.394,1.49269,1.05998,0.90865,0.41167,0.35483,0.3166,0.18067,1.43434,1.0457,0.90402,0.000544354,0.000544354,0.000544354
14,539.958,1.48731,1.05236,0.90541,0.43643,0.34441,0.31172,0.17872,1.43878,1.04672,0.90637,0.000530216,0.000530216,0.000530216
15,576.573,1.47993,1.04357,0.90424,0.45495,0.34951,0.32705,0.18683,1.43045,1.03689,0.90594,0.000516079,0.000516079,0.000516079
16,613.2,1.46226,1.01963,0.90341,0.47651,0.34561,0.33517,0.19287,1.42561,1.01388,0.9046,0.000501942,0.000501942,0.000501942
17,649.87,1.46231,1.01484,0.89968,0.45952,0.3576,0.3382,0.19241,1.41388,1.01014,0.89932,0.000487805,0.000487805,0.000487805
18,686.619,1.45881,1.01368,0.90056,0.46696,0.35053,0.33596,0.19231,1.41652,1.0022,0.90087,0.000473668,0.000473668,0.000473668
19,722.744,1.44686,1.00111,0.89991,0.45025,0.36084,0.33564,0.1938,1.41696,1.005,0.90013,0.00045953,0.00045953,0.00045953
20,759.022,1.44708,0.99944,0.89605,0.47456,0.36648,0.35303,0.20181,1.41536,0.98736,0.90077,0.000445393,0.000445393,0.000445393
21,795.667,1.43964,0.98811,0.89576,0.47715,0.36824,0.35268,0.20492,1.39233,0.98198,0.89549,0.000431256,0.000431256,0.000431256
22,832.809,1.44269,0.98944,0.89473,0.4486,0.37145,0.33777,0.19373,1.42409,1.00343,0.9055,0.000417119,0.000417119,0.000417119
23,869.222,1.42468,0.97703,0.89386,0.47582,0.37263,0.35581,0.20679,1.38718,0.96876,0.89523,0.000402982,0.000402982,0.000402982
24,905.923,1.42661,0.97632,0.89292,0.47754,0.37391,0.35349,0.2029,1.3921,0.98009,0.8964,0.000388844,0.000388844,0.000388844
25,942.33,1.42402,0.96993,0.89333,0.47748,0.3722,0.35489,0.20754,1.38696,0.96433,0.8975,0.000374707,0.000374707,0.000374707
26,978.827,1.42087,0.96335,0.89078,0.48306,0.37534,0.35701,0.20595,1.39803,0.96936,0.89404,0.00036057,0.00036057,0.00036057
27,1015.13,1.42299,0.96683,0.89093,0.48252,0.36241,0.35288,0.20526,1.38037,0.96663,0.89195,0.000346433,0.000346433,0.000346433
28,1051.92,1.41424,0.95214,0.88925,0.47052,0.38262,0.36089,0.20844,1.37614,0.95878,0.89172,0.000332296,0.000332296,0.000332296
29,1088.59,1.40947,0.94432,0.88773,0.48758,0.37186,0.35962,0.20759,1.38263,0.95713,0.8902,0.000318158,0.000318158,0.000318158
