epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1188.02,1.43272,1.53323,1.02448,0.44152,0.35756,0.34757,0.20644,1.36289,1.16218,1.0182,0.000237412,0.000237412,0.000237412
2,1312.85,1.37542,1.14604,1.00347,0.49978,0.40219,0.40003,0.23739,1.37473,1.0958,1.02429,0.000465999,0.000465999,0.000465999
3,1436.26,1.37421,1.1073,1.00354,0.49632,0.41448,0.4101,0.24951,1.33552,1.10531,1.00796,0.000685161,0.000685161,0.000685161
4,1558.85,1.35597,1.07578,0.9953,0.50099,0.41699,0.41459,0.25181,1.34042,1.08134,1.00564,0.000671588,0.000671588,0.000671588
5,1681.41,1.35208,1.04917,0.99344,0.50974,0.44026,0.43679,0.26806,1.31402,1.03999,0.99573,0.000657451,0.000657451,0.000657451
6,1804.06,1.33085,1.01815,0.98444,0.51094,0.45339,0.45553,0.2795,1.30773,1.02224,0.99583,0.000643314,0.000643314,0.000643314
7,1926.58,1.32359,0.99699,0.98224,0.52838,0.45568,0.46684,0.28519,1.30235,0.99803,0.99415,0.000629177,0.000629177,0.000629177
8,2048.91,1.30716,0.97696,0.97604,0.54453,0.4518,0.47311,0.29332,1.29616,0.98162,0.98717,0.00061504,0.00061504,0.00061504
9,2171.36,1.31099,0.9706,0.97743,0.56836,0.46168,0.48296,0.29739,1.29476,0.98003,0.98602,0.000600902,0.000600902,0.000600902
10,2293.33,1.29502,0.9479,0.97106,0.56543,0.46061,0.48186,0.3,1.27741,0.97313,0.97774,0.000586765,0.000586765,0.000586765
11,2416.07,1.28934,0.93717,0.96822,0.56798,0.48083,0.49794,0.3047,1.30079,0.96424,0.98524,0.000572628,0.000572628,0.000572628
12,2539.1,1.28467,0.92499,0.96611,0.58626,0.46705,0.4979,0.3102,1.28106,0.96008,0.98297,0.000558491,0.000558491,0.000558491
13,2661.69,1.28191,0.92038,0.96614,0.56592,0.48968,0.50455,0.31569,1.26538,0.93778,0.97588,0.000544354,0.000544354,0.000544354
14,2784.68,1.2757,0.9086,0.96241,0.5995,0.47482,0.50782,0.31641,1.26223,0.93559,0.97342,0.000530216,0.000530216,0.000530216
15,2907.95,1.26669,0.89795,0.95744,0.59856,0.48929,0.51806,0.32486,1.26267,0.92496,0.97286,0.000516079,0.000516079,0.000516079
16,3031,1.25536,0.88733,0.95463,0.58805,0.48327,0.50638,0.3159,1.26901,0.93863,0.97535,0.000501942,0.000501942,0.000501942
17,3153.43,1.25733,0.87574,0.95507,0.60233,0.49373,0.52258,0.32927,1.24665,0.9125,0.96853,0.000487805,0.000487805,0.000487805
18,3276.63,1.25045,0.87092,0.95464,0.59565,0.48563,0.5186,0.32402,1.25307,0.91715,0.97143,0.000473668,0.000473668,0.000473668
19,3399.37,1.24857,0.87027,0.95338,0.60674,0.49432,0.52477,0.32934,1.25681,0.91355,0.9708,0.00045953,0.00045953,0.00045953
20,3521.65,1.24392,0.85791,0.95102,0.60895,0.49236,0.52381,0.32557,1.27924,0.91674,0.97482,0.000445393,0.000445393,0.000445393
21,3645.11,1.23921,0.85206,0.94789,0.60398,0.50334,0.53033,0.33397,1.25044,0.90393,0.9694,0.000431256,0.000431256,0.000431256
22,3767.79,1.2362,0.84567,0.94913,0.59532,0.5005,0.52612,0.33071,1.26235,0.90442,0.97126,0.000417119,0.000417119,0.000417119
23,3890.54,1.22875,0.84005,0.94573,0.62309,0.49632,0.53494,0.33658,1.24384,0.89677,0.96577,0.000402982,0.000402982,0.000402982
24,4013.66,1.22533,0.83266,0.94407,0.60951,0.50122,0.53684,0.33609,1.25216,0.89134,0.96718,0.000388844,0.000388844,0.000388844
25,4135.55,1.21945,0.82236,0.9446,0.61685,0.50288,0.53137,0.33317,1.23976,0.89277,0.96523,0.000374707,0.000374707,0.000374707
26,4258.4,1.21838,0.8213,0.94311,0.62254,0.50533,0.53761,0.33655,1.24715,0.88798,0.96511,0.00036057,0.00036057,0.00036057
27,4381.08,1.21253,0.81628,0.94079,0.60351,0.51512,0.54016,0.33936,1.24619,0.88731,0.96348,0.000346433,0.000346433,0.000346433
28,4503.78,1.2102,0.80972,0.93888,0.62361,0.5128,0.54302,0.34213,1.23369,0.87981,0.96149,0.000332296,0.000332296,0.000332296
29,4626.29,1.20898,0.80488,0.93962,0.60094,0.51794,0.54086,0.33866,1.24577,0.88484,0.96466,0.000318158,0.000318158,0.000318158
30,4748.06,1.1975,0.79751,0.93646,0.62397,0.5159,0.54598,0.34299,1.23916,0.88072,0.96175,0.000304021,0.000304021,0.000304021
31,4870.4,1.19418,0.79137,0.93729,0.61142,0.52229,0.54301,0.34028,1.24257,0.88497,0.96324,0.000289884,0.000289884,0.000289884
32,4993.01,1.19598,0.78702,0.93369,0.6201,0.52185,0.55003,0.34609,1.24272,0.87264,0.96171,0.000275747,0.000275747,0.000275747
33,5115.14,1.19486,0.78516,0.93342,0.62178,0.51718,0.54396,0.34203,1.23519,0.87739,0.95976,0.00026161,0.00026161,0.00026161
34,5236.84,1.18811,0.77739,0.93108,0.62756,0.51556,0.54045,0.33828,1.24993,0.88023,0.96278,0.000247472,0.000247472,0.000247472
35,5359.12,1.18139,0.76802,0.93017,0.62693,0.51794,0.54758,0.3438,1.23902,0.87221,0.96074,0.000233335,0.000233335,0.000233335
36,5481.18,1.18054,0.76469,0.92954,0.62685,0.51768,0.54767,0.34562,1.24023,0.87407,0.96081,0.000219198,0.000219198,0.000219198
37,5603.1,1.17557,0.75807,0.92869,0.63381,0.51209,0.54789,0.34587,1.23291,0.86952,0.95817,0.000205061,0.000205061,0.000205061
38,5725.11,1.17017,0.7526,0.92729,0.62903,0.51767,0.5485,0.34807,1.23051,0.86718,0.95749,0.000190924,0.000190924,0.000190924
39,5847.76,1.16866,0.75031,0.92662,0.62652,0.52182,0.55158,0.34816,1.23212,0.86749,0.95779,0.000176786,0.000176786,0.000176786
40,5970.75,1.16401,0.73998,0.92501,0.64135,0.5082,0.5482,0.34582,1.23515,0.86746,0.95946,0.000162649,0.000162649,0.000162649
41,6088.85,1.15571,0.72879,0.93306,0.61872,0.51687,0.54495,0.34391,1.23359,0.87533,0.95872,0.000148512,0.000148512,0.000148512
42,6205.09,1.14377,0.71289,0.9286,0.62723,0.5149,0.54602,0.34426,1.24007,0.87154,0.9608,0.000134375,0.000134375,0.000134375
