epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9376,1.69481,1.72884,0.9748,0.28479,0.24236,0.16233,0.08763,1.60652,1.59302,0.93845,0.000330065,0.000330065,0.0673235
2,100.697,1.60502,1.24792,0.93418,0.29973,0.25126,0.1861,0.10102,1.58741,1.31373,0.94106,0.000650263,0.000650263,0.0343104
3,137.061,1.60827,1.23487,0.93578,0.28569,0.23459,0.17141,0.09126,1.68635,1.5492,0.9583,0.000957261,0.000957261,0.00128406
4,172.231,1.59644,1.2081,0.93281,0.31997,0.2882,0.22194,0.11842,1.6523,1.33171,0.94987,0.0009406,0.0009406,0.0009406
5,207.686,1.569,1.16037,0.92426,0.36853,0.28003,0.2347,0.12807,1.59446,1.27342,0.93823,0.0009208,0.0009208,0.0009208
6,243.31,1.5363,1.13048,0.91925,0.36944,0.30316,0.24363,0.1338,1.55696,1.25662,0.92999,0.000901,0.000901,0.000901
7,279.244,1.52784,1.10967,0.91357,0.41053,0.30785,0.27462,0.15232,1.52093,1.19371,0.9257,0.0008812,0.0008812,0.0008812
8,314.612,1.51868,1.09583,0.91108,0.41044,0.30872,0.27005,0.1515,1.50936,1.18256,0.92342,0.0008614,0.0008614,0.0008614
9,350.209,1.50627,1.07632,0.90911,0.42411,0.33674,0.30187,0.16932,1.47778,1.10721,0.91439,0.0008416,0.0008416,0.0008416
10,385.591,1.48925,1.05342,0.90344,0.43433,0.32075,0.29299,0.1628,1.50165,1.11546,0.91985,0.0008218,0.0008218,0.0008218
11,420.263,1.46997,1.03624,0.90169,0.42695,0.33255,0.30191,0.16863,1.47246,1.06515,0.91522,0.000802,0.000802,0.000802
12,455.417,1.47106,1.04106,0.90192,0.42966,0.32362,0.29371,0.1641,1.48488,1.10024,0.91457,0.0007822,0.0007822,0.0007822
13,490.293,1.47626,1.03437,0.90127,0.44457,0.34835,0.31731,0.1785,1.45229,1.05528,0.90758,0.0007624,0.0007624,0.0007624
14,525.52,1.4528,1.01328,0.8976,0.45081,0.34455,0.32135,0.18309,1.43483,1.04368,0.90732,0.0007426,0.0007426,0.0007426
15,560.727,1.44927,1.00552,0.89513,0.42423,0.35511,0.31898,0.18001,1.45472,1.06484,0.9096,0.0007228,0.0007228,0.0007228
16,595.71,1.44167,0.99794,0.89283,0.45023,0.35122,0.32739,0.18546,1.44,1.01977,0.90792,0.000703,0.000703,0.000703
17,630.889,1.43232,0.98721,0.89125,0.45089,0.35395,0.32907,0.18335,1.46031,1.02099,0.91175,0.0006832,0.0006832,0.0006832
18,665.831,1.42793,0.97657,0.88943,0.46546,0.35566,0.33483,0.18995,1.42019,1.0151,0.90157,0.0006634,0.0006634,0.0006634
19,701.07,1.42133,0.9656,0.88919,0.48207,0.35983,0.34922,0.19906,1.41211,0.99144,0.89988,0.0006436,0.0006436,0.0006436
20,735.849,1.41352,0.96475,0.88805,0.45124,0.35964,0.33366,0.19209,1.41746,0.99596,0.90351,0.0006238,0.0006238,0.0006238
21,770.884,1.4081,0.95396,0.88641,0.45061,0.35815,0.33499,0.19135,1.41915,1.00274,0.90324,0.000604,0.000604,0.000604
22,805.92,1.40147,0.94815,0.88617,0.47708,0.36306,0.34376,0.19648,1.41802,0.99574,0.90248,0.0005842,0.0005842,0.0005842
23,840.611,1.39427,0.94303,0.88408,0.47596,0.36951,0.3554,0.20343,1.40819,0.98208,0.90036,0.0005644,0.0005644,0.0005644
24,875.36,1.38904,0.93131,0.88239,0.46762,0.37044,0.34843,0.19868,1.40389,0.99253,0.89912,0.0005446,0.0005446,0.0005446
25,910.014,1.3908,0.93196,0.88281,0.4845,0.36315,0.34926,0.19954,1.4139,0.9906,0.89762,0.0005248,0.0005248,0.0005248
26,944.782,1.38497,0.92459,0.88175,0.46556,0.38051,0.35646,0.20454,1.3845,0.96581,0.89289,0.000505,0.000505,0.000505
27,979.575,1.38859,0.92139,0.87819,0.49483,0.37457,0.36348,0.20875,1.38722,0.9596,0.89277,0.0004852,0.0004852,0.0004852
28,1014.46,1.37652,0.91256,0.87876,0.48267,0.37647,0.35912,0.20712,1.38792,0.97207,0.89341,0.0004654,0.0004654,0.0004654
29,1049.14,1.36811,0.9011,0.87775,0.50108,0.37447,0.36586,0.21161,1.3854,0.96017,0.89511,0.0004456,0.0004456,0.0004456
30,1084.19,1.35767,0.89481,0.87635,0.4935,0.3757,0.36348,0.20661,1.39592,0.95362,0.8961,0.0004258,0.0004258,0.0004258
31,1119.1,1.35912,0.8906,0.87632,0.48194,0.37531,0.36191,0.20879,1.37872,0.9596,0.8908,0.000406,0.000406,0.000406
32,1153.95,1.36124,0.88558,0.87363,0.51913,0.3698,0.36543,0.20924,1.38195,0.95614,0.89348,0.0003862,0.0003862,0.0003862
33,1188.54,1.35191,0.88143,0.87272,0.50074,0.3813,0.3716,0.21527,1.3694,0.94782,0.89035,0.0003664,0.0003664,0.0003664
34,1223.37,1.34427,0.87106,0.87005,0.49351,0.38196,0.36944,0.21411,1.36627,0.9454,0.89008,0.0003466,0.0003466,0.0003466
35,1258.29,1.34412,0.86838,0.87034,0.51065,0.38017,0.37514,0.2192,1.36473,0.93857,0.88893,0.0003268,0.0003268,0.0003268
36,1293.11,1.32969,0.85971,0.87001,0.50184,0.38345,0.37402,0.21829,1.35841,0.93316,0.89048,0.000307,0.000307,0.000307
37,1327.86,1.32499,0.85675,0.86967,0.50947,0.38922,0.37787,0.21817,1.37616,0.92967,0.89261,0.0002872,0.0002872,0.0002872
38,1362.63,1.33772,0.85375,0.86901,0.50351,0.38594,0.37353,0.21734,1.35618,0.93568,0.88663,0.0002674,0.0002674,0.0002674
39,1397.11,1.32527,0.84885,0.86838,0.49477,0.39395,0.37914,0.22111,1.36443,0.93023,0.88959,0.0002476,0.0002476,0.0002476
40,1432.47,1.3215,0.84152,0.8649,0.49414,0.39354,0.37862,0.22081,1.35232,0.92698,0.88656,0.0002278,0.0002278,0.0002278
41,1471.81,1.2868,0.82897,0.87268,0.50465,0.3859,0.37493,0.21774,1.36351,0.93828,0.88907,0.000208,0.000208,0.000208
42,1505.11,1.26846,0.80449,0.86996,0.49839,0.38779,0.37508,0.21843,1.36009,0.93462,0.88614,0.0001882,0.0001882,0.0001882
43,1538.09,1.26851,0.80247,0.8684,0.512,0.38855,0.37717,0.22038,1.36211,0.93111,0.89029,0.0001684,0.0001684,0.0001684
