epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.353,1.46372,1.57151,1.04059,0.45394,0.39036,0.3615,0.21052,1.36989,1.11563,1.00809,0.000237412,0.000237412,0.000237412
2,284.052,1.41422,1.1878,1.01892,0.47423,0.39487,0.36558,0.21148,1.35991,1.10638,1.01844,0.000465999,0.000465999,0.000465999
3,409.517,1.41072,1.15937,1.01582,0.48541,0.41826,0.38727,0.22934,1.34628,1.09013,1.00546,0.000685161,0.000685161,0.000685161
4,533.86,1.39683,1.12041,1.01223,0.49798,0.42658,0.4125,0.24928,1.32371,1.0676,1.00783,0.000671588,0.000671588,0.000671588
5,658.54,1.36799,1.07772,1.00259,0.53643,0.44372,0.43595,0.26162,1.3136,1.02211,0.99602,0.000657451,0.000657451,0.000657451
6,783.403,1.36069,1.05782,0.99762,0.55817,0.43801,0.44014,0.26783,1.2972,1.00724,0.98969,0.000643314,0.000643314,0.000643314
7,908.325,1.34855,1.03322,0.99017,0.5316,0.45499,0.44686,0.26779,1.2934,0.99649,0.98899,0.000629177,0.000629177,0.000629177
8,1033.31,1.34495,1.01942,0.98822,0.58217,0.45068,0.45912,0.2778,1.29824,0.9885,0.98964,0.00061504,0.00061504,0.00061504
9,1158.37,1.33636,1.00618,0.98648,0.57337,0.48092,0.47473,0.28683,1.2764,0.96234,0.97921,0.000600902,0.000600902,0.000600902
10,1282.96,1.31719,0.98016,0.98068,0.56322,0.48533,0.4791,0.28917,1.28458,0.96522,0.98027,0.000586765,0.000586765,0.000586765
11,1407.4,1.31731,0.98182,0.98303,0.56491,0.46297,0.4677,0.28636,1.26791,0.9683,0.97793,0.000572628,0.000572628,0.000572628
12,1532.14,1.30668,0.96457,0.97831,0.59107,0.47531,0.48343,0.29279,1.27452,0.95028,0.98,0.000558491,0.000558491,0.000558491
13,1656.78,1.30569,0.9553,0.97541,0.59003,0.4865,0.49406,0.29748,1.29268,0.94228,0.98074,0.000544354,0.000544354,0.000544354
14,1781.69,1.2973,0.9471,0.97254,0.58359,0.49741,0.49632,0.30308,1.25805,0.93058,0.97488,0.000530216,0.000530216,0.000530216
15,1906.71,1.29169,0.93629,0.97075,0.60067,0.48553,0.49606,0.3015,1.26284,0.93206,0.97174,0.000516079,0.000516079,0.000516079
16,2031.24,1.28808,0.9252,0.96961,0.58312,0.49061,0.49726,0.30151,1.26689,0.91971,0.97158,0.000501942,0.000501942,0.000501942
17,2155.02,1.27672,0.91057,0.96604,0.60318,0.49844,0.51081,0.31176,1.25929,0.91177,0.9699,0.000487805,0.000487805,0.000487805
18,2279.53,1.27815,0.91275,0.96563,0.59341,0.50424,0.51026,0.3122,1.24831,0.91133,0.96733,0.000473668,0.000473668,0.000473668
19,2403.78,1.26942,0.90104,0.96476,0.61264,0.49168,0.51105,0.31371,1.24841,0.90522,0.96827,0.00045953,0.00045953,0.00045953
20,2527.71,1.27078,0.89773,0.9615,0.62036,0.49167,0.5117,0.31362,1.24809,0.90272,0.96824,0.000445393,0.000445393,0.000445393
21,2651.53,1.26121,0.88892,0.96084,0.60713,0.50226,0.51062,0.31392,1.24977,0.9046,0.96739,0.000431256,0.000431256,0.000431256
22,2777.56,1.26675,0.88717,0.95843,0.61588,0.50784,0.51148,0.30938,1.25741,0.90247,0.9674,0.000417119,0.000417119,0.000417119
23,2971.91,1.25452,0.87412,0.95707,0.61176,0.51137,0.52052,0.31887,1.23729,0.89243,0.96369,0.000402982,0.000402982,0.000402982
24,3095.82,1.24626,0.86762,0.95589,0.61528,0.51101,0.51732,0.3146,1.24782,0.89479,0.9658,0.000388844,0.000388844,0.000388844
25,3220.29,1.24833,0.86788,0.95582,0.6155,0.50443,0.51827,0.31628,1.23835,0.88931,0.96258,0.000374707,0.000374707,0.000374707
26,3344.34,1.25254,0.86919,0.95694,0.61356,0.50996,0.51858,0.31693,1.24262,0.88821,0.96419,0.00036057,0.00036057,0.00036057
27,3469.19,1.24661,0.86087,0.95245,0.61848,0.50969,0.52195,0.31871,1.24651,0.88509,0.96585,0.000346433,0.000346433,0.000346433
28,3593.26,1.2368,0.84469,0.95078,0.62715,0.50943,0.52506,0.3209,1.24299,0.8844,0.96237,0.000332296,0.000332296,0.000332296
29,3718.24,1.24165,0.85093,0.95142,0.62028,0.51303,0.52451,0.32173,1.24246,0.88159,0.96474,0.000318158,0.000318158,0.000318158
30,3842.26,1.22698,0.83412,0.94714,0.61901,0.5153,0.52433,0.32237,1.24237,0.87975,0.96224,0.000304021,0.000304021,0.000304021
31,3966.34,1.22807,0.83756,0.94847,0.63202,0.51325,0.52538,0.3242,1.22801,0.8804,0.95751,0.000289884,0.000289884,0.000289884
32,4091.74,1.2253,0.8298,0.94562,0.63284,0.5138,0.52634,0.32384,1.23908,0.87852,0.95992,0.000275747,0.000275747,0.000275747
33,4215.36,1.22052,0.82301,0.94834,0.62168,0.52347,0.53228,0.32653,1.23345,0.87495,0.95977,0.00026161,0.00026161,0.00026161
34,4340.11,1.21583,0.81678,0.94612,0.6255,0.51758,0.52869,0.32357,1.23506,0.87562,0.95868,0.000247472,0.000247472,0.000247472
35,4464.92,1.20444,0.80504,0.94169,0.6309,0.51343,0.5311,0.32617,1.23561,0.8722,0.95888,0.000233335,0.000233335,0.000233335
36,4589.53,1.21174,0.80908,0.94158,0.62427,0.51508,0.52758,0.32353,1.2316,0.87162,0.95822,0.000219198,0.000219198,0.000219198
37,4713.8,1.20118,0.79578,0.93862,0.62941,0.51887,0.52962,0.32261,1.23867,0.87109,0.95999,0.000205061,0.000205061,0.000205061
38,4838.27,1.20295,0.79703,0.93832,0.63377,0.51594,0.526,0.32168,1.23854,0.87277,0.95846,0.000190924,0.000190924,0.000190924
39,4962.03,1.19064,0.78648,0.93736,0.63363,0.51767,0.53119,0.32646,1.22877,0.87175,0.95645,0.000176786,0.000176786,0.000176786
40,5086.8,1.19422,0.78343,0.93716,0.63363,0.51744,0.52944,0.32354,1.23328,0.87138,0.95668,0.000162649,0.000162649,0.000162649
41,5208.22,1.15905,0.73461,0.93191,0.64382,0.50734,0.52566,0.32388,1.22991,0.87157,0.9572,0.000148512,0.000148512,0.000148512
42,5322.02,1.14512,0.71746,0.92977,0.62876,0.51571,0.52493,0.32283,1.22947,0.87251,0.95755,0.000134375,0.000134375,0.000134375
43,5435.43,1.14093,0.70772,0.92827,0.6312,0.51675,0.52532,0.32236,1.24344,0.87711,0.96118,0.000120238,0.000120238,0.000120238
44,5549.7,1.14099,0.7049,0.92659,0.62761,0.51836,0.52842,0.32455,1.23097,0.86974,0.95712,0.0001061,0.0001061,0.0001061
45,5663.56,1.12912,0.69234,0.92341,0.62726,0.51704,0.52685,0.32375,1.23255,0.87126,0.95714,9.19632e-05,9.19632e-05,9.19632e-05
46,5777.66,1.12575,0.68868,0.92092,0.63627,0.51546,0.52785,0.32364,1.23315,0.87106,0.9572,7.7826e-05,7.7826e-05,7.7826e-05
47,5891.68,1.11953,0.67987,0.92094,0.63222,0.51671,0.52632,0.32271,1.23328,0.87228,0.95707,6.36888e-05,6.36888e-05,6.36888e-05
48,6005.74,1.11732,0.67749,0.91956,0.63274,0.51339,0.52585,0.32328,1.23389,0.8729,0.95667,4.95516e-05,4.95516e-05,4.95516e-05
49,6119.14,1.11292,0.67138,0.91977,0.63277,0.5146,0.52618,0.32307,1.23181,0.8719,0.95671,3.54144e-05,3.54144e-05,3.54144e-05
50,6233.12,1.10868,0.66711,0.91804,0.63556,0.5124,0.52408,0.32093,1.23439,0.87636,0.95767,2.12772e-05,2.12772e-05,2.12772e-05
