epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.464,1.42951,1.5339,1.02265,0.43098,0.39372,0.35314,0.21028,1.34009,1.14993,1.00497,0.000237412,0.000237412,0.000237412
2,278.406,1.37505,1.13308,1.00072,0.47973,0.38857,0.34956,0.20154,1.36431,1.16402,1.01502,0.000469137,0.000469137,0.000469137
3,400.703,1.3711,1.09443,0.99737,0.48621,0.3958,0.38283,0.2252,1.35019,1.10419,1.00912,0.000694578,0.000694578,0.000694578
4,521.373,1.35309,1.05761,0.99386,0.50582,0.42228,0.4137,0.24467,1.34037,1.05013,1.00435,0.000685726,0.000685726,0.000685726
5,642.623,1.34329,1.03662,0.98747,0.54033,0.43868,0.43374,0.25865,1.31849,1.04766,0.99531,0.000676301,0.000676301,0.000676301
6,764.039,1.32474,1.00897,0.98323,0.54004,0.44779,0.4429,0.26687,1.30161,1.00968,0.99299,0.000666876,0.000666876,0.000666876
7,884.775,1.31713,0.98253,0.97969,0.54923,0.45866,0.45525,0.27437,1.29864,1.00221,0.98449,0.000657451,0.000657451,0.000657451
8,1005.95,1.31233,0.97432,0.97437,0.55293,0.4626,0.45982,0.27389,1.31136,0.97962,0.99343,0.000648026,0.000648026,0.000648026
9,1127.69,1.30814,0.96261,0.97519,0.57287,0.46287,0.47338,0.28454,1.29096,0.97291,0.98622,0.000638602,0.000638602,0.000638602
10,1249.18,1.29318,0.93747,0.96864,0.58342,0.46722,0.47474,0.28665,1.28158,0.964,0.98274,0.000629177,0.000629177,0.000629177
11,1370.66,1.28267,0.93012,0.96683,0.56599,0.46739,0.47267,0.28582,1.2794,0.96196,0.98224,0.000619752,0.000619752,0.000619752
12,1491.52,1.27845,0.91541,0.96564,0.58807,0.47861,0.48433,0.29089,1.27882,0.95929,0.98175,0.000610327,0.000610327,0.000610327
13,1612.3,1.27937,0.91549,0.96498,0.57435,0.48662,0.49209,0.29979,1.26205,0.93843,0.97546,0.000600902,0.000600902,0.000600902
14,1733.17,1.26595,0.89679,0.96082,0.59455,0.48091,0.4902,0.29835,1.27004,0.93295,0.97469,0.000591478,0.000591478,0.000591478
15,1854.1,1.26441,0.8941,0.95956,0.59396,0.49236,0.49751,0.30313,1.25764,0.92426,0.97178,0.000582053,0.000582053,0.000582053
16,1974.27,1.26063,0.88622,0.95767,0.60707,0.48686,0.49899,0.30242,1.26885,0.92114,0.97604,0.000572628,0.000572628,0.000572628
17,2095.49,1.25435,0.87313,0.95356,0.60076,0.48807,0.50327,0.30765,1.25387,0.92081,0.97451,0.000563203,0.000563203,0.000563203
18,2217.16,1.24806,0.868,0.95471,0.60252,0.49806,0.50287,0.30804,1.25245,0.91382,0.97121,0.000553778,0.000553778,0.000553778
19,2338.27,1.24802,0.86333,0.9523,0.60222,0.49997,0.51158,0.31281,1.26118,0.91251,0.97355,0.000544354,0.000544354,0.000544354
20,2459.71,1.24258,0.85563,0.95109,0.60206,0.49752,0.50965,0.30956,1.25971,0.91634,0.97169,0.000534929,0.000534929,0.000534929
21,2580.6,1.23351,0.84239,0.94854,0.63252,0.49769,0.51324,0.31477,1.2512,0.90309,0.96812,0.000525504,0.000525504,0.000525504
22,2702.37,1.23324,0.84081,0.94821,0.62117,0.50559,0.52252,0.3206,1.24522,0.8946,0.96754,0.000516079,0.000516079,0.000516079
23,2822.95,1.22828,0.83335,0.94638,0.61448,0.49547,0.51079,0.31405,1.25325,0.90148,0.97014,0.000506654,0.000506654,0.000506654
24,2943.81,1.22221,0.82786,0.94454,0.61412,0.4948,0.51167,0.31065,1.25747,0.90577,0.96786,0.00049723,0.00049723,0.00049723
25,3064.4,1.21877,0.82275,0.94573,0.6146,0.49158,0.50389,0.30564,1.27077,0.91432,0.97108,0.000487805,0.000487805,0.000487805
26,3185.19,1.21929,0.821,0.94304,0.62674,0.50141,0.52008,0.32014,1.24297,0.88785,0.96705,0.00047838,0.00047838,0.00047838
27,3306.47,1.21582,0.81439,0.94012,0.62122,0.50609,0.52198,0.32074,1.24611,0.88542,0.96484,0.000468955,0.000468955,0.000468955
28,3427.65,1.21325,0.8086,0.94058,0.62486,0.50404,0.5201,0.31744,1.25157,0.89515,0.96708,0.00045953,0.00045953,0.00045953
29,3548.27,1.21039,0.80282,0.94,0.64484,0.49845,0.52399,0.31909,1.251,0.89226,0.96742,0.000450106,0.000450106,0.000450106
30,3668.9,1.19832,0.79273,0.93754,0.6329,0.50335,0.51998,0.3194,1.25011,0.8896,0.96519,0.000440681,0.000440681,0.000440681
31,3790.01,1.20497,0.79458,0.93904,0.61506,0.50816,0.52112,0.32163,1.24197,0.88889,0.96727,0.000431256,0.000431256,0.000431256
32,3911.57,1.19908,0.7863,0.93498,0.61608,0.50896,0.51997,0.31912,1.24888,0.8889,0.96477,0.000421831,0.000421831,0.000421831
